fecha_documento,monto,moneda,glosa,centro_costo,referencia,cuenta_contable
2026-06-16,1249102.0,CLP,Nota de debito - Costo de Ventas,CC-005,DOC-001801,5101
2026-06-05,-1761388.0,CLP,Pago a proveedor - Impuestos por Pagar,CC-004,DOC-001190,2102
2026-06-22,215745.0,CLP,Nota de credito - Ventas,CC-002,DOC-001817,4101
2026-08-01,-380354.0,CLP,Cobro cliente - Prestamos Bancarios,CC-008,DOC-000251,2201
2026-08-04,-1650375.0,CLP,Cobro cliente - Gastos de Venta,CC-008,DOC-002505,5103
2025-12-19,-2701125.0,CLP,Ajuste contable - Impuestos por Pagar,CC-007,DOC-001117,2102
2026-08-09,-1811864.0,CLP,Pago a proveedor - Gastos de Venta,CC-001,DOC-001411,5103
2026-06-24,-1977511.0,CLP,Regularizacion - Capital,CC-003,DOC-002113,3101
2026-05-30,-2558006.0,CLP,Nota de debito - Ventas,CC-001,DOC-000408,4101
2026-07-31,2928154.0,USD,Nota de credito - Clientes,CC-005,DOC-002579,1201
2026-08-10,318269.0,CLP,Regularizacion - Costo de Ventas,CC-004,DOC-002254,5101
2026-08-07,542185.0,USD,Nota de debito - Clientes,CC-007,DOC-000052,1201
2026-07-25,2706444.0,CLP,Pago a proveedor - Bancos,CC-007,DOC-000644,1102
2026-07-25,1991902.0,CLP,Pago a proveedor - Costo de Ventas,CC-002,DOC-001763,5101
2026-08-06,1325721.0,USD,Devolucion - Proveedores,CC-005,DOC-002776,2101
2025-10-31,2334097.0,CLP,Transferencia interna - Clientes,CC-002,DOC-000900,1201
2026-02-22,-366203.0,CLP,Nomina - Prestamos Bancarios,CC-005,DOC-001073,2201
2026-05-30,2845364.0,CLP,Nota de debito - Costo de Ventas,CC-008,DOC-000472,5101
2026-07-02,996435.0,CLP,Pago a proveedor - Inventario,CC-001,DOC-002738,1301
2026-07-21,-2484164.0,CLP,Devolucion - Impuestos por Pagar,CC-001,DOC-002546,2102
2026-07-03,2795609.0,CLP,Ajuste contable - Gastos Administrativos,CC-005,DOC-000044,5102
2026-07-29,1242838.0,CLP,Cobro cliente - Gastos Administrativos,CC-003,DOC-000289,5102
2026-07-16,1129720.0,CLP,Transferencia interna - Inventario,CC-008,DOC-000912,1301
2026-06-25,-2917097.0,CLP,Nota de debito - Gastos de Venta,CC-002,DOC-002083,5103
2026-06-27,-736458.0,USD,Regularizacion - Gastos de Venta,CC-001,DOC-001360,5103
2026-06-19,-322083.0,CLP,Anticipo - Impuestos por Pagar,CC-003,DOC-002895,2102
